Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr20	743220	3.075991	2.843131
chr20	743272	2.938366	2.843291
chr20	743770	2.872010	2.844754
chr20	743827	2.780728	2.844918
chr20	744032	2.458225	2.845488
chr20	744050	2.114590	2.845532
chr20	744308	2.056639	2.846078
chr20	744382	2.026358	2.846230
chr20	744415	1.991720	2.846297
chr20	744450	1.957219	2.846367
chr20	744847	1.909680	2.847144
chr20	745444	1.578126	2.848284
chr20	745547	1.372355	2.848446
chr20	745898	1.352927	2.848928
chr20	745963	1.321149	2.849016
chr20	746098	1.299712	2.849194
chr20	746885	1.303407	2.850217
chr20	746952	1.309332	2.850305
chr20	747835	1.315018	2.851461
chr20	747993	1.320649	2.851668
chr20	748610	1.359100	2.852483
chr20	748974	1.635086	2.852978
chr20	750204	1.660684	2.854989
chr20	750738	1.684040	2.855876
chr20	752132	1.969718	2.858224
chr20	752368	2.644310	2.858688
chr20	752633	5.614163	2.859389
chr20	752876	6.723525	2.860753
chr20	752963	7.380297	2.861338
chr20	753310	10.630993	2.863899
chr20	753363	13.308126	2.864463
chr20	753487	13.349077	2.866113
chr20	753516	13.381494	2.866500
chr20	753739	13.381494	2.869484
chr20	753917	13.379222	2.871866
chr20	754367	13.367860	2.877887
chr20	754381	13.341787	2.878074
chr20	754511	10.954975	2.879808
chr20	754685	10.949828	2.881714
chr20	755027	9.124828	2.885459
chr20	755171	7.719404	2.886773
chr20	755253	4.308037	2.887406
chr20	756074	1.239490	2.890943
chr20	756519	1.217189	2.891495
chr20	756531	1.211283	2.891509
chr20	756982	1.184018	2.892056
chr20	757498	1.180179	2.892667
chr20	758982	0.812831	2.894418
chr20	759315	0.679936	2.894689
chr20	760863	0.470975	2.895741
chr20	763195	0.383757	2.896839
chr20	763968	0.353622	2.897136
chr20	766594	0.354626	2.898065
chr20	767590	1.181968	2.898418
chr20	767720	2.631975	2.898572
chr20	771876	2.644634	2.909510
chr20	772614	9.812065	2.911462
chr20	773989	13.971982	2.924953
chr20	775376	13.982948	2.944333
chr20	775842	14.004168	2.950849
chr20	781645	11.529843	3.032115
chr20	781740	11.442928	3.033210
chr20	781848	4.565992	3.034446
chr20	782046	12.098262	3.035350
chr20	782070	64.685649	3.035640
chr20	782706	64.685649	3.076780
chr20	782798	64.685649	3.082732
chr20	783382	64.685649	3.120508
chr20	783864	16.387450	3.151686
chr20	784166	16.378536	3.156635
chr20	784346	5.653405	3.159584
chr20	784898	1.614586	3.162704
chr20	784958	0.562716	3.162801
chr20	785087	0.446054	3.162874
chr20	785108	0.355545	3.162883
chr20	785917	0.360877	3.163171
chr20	785999	0.369559	3.163200
chr20	787059	0.385661	3.163592
chr20	787341	0.433694	3.163701
chr20	788665	0.550698	3.164275
chr20	789129	0.490205	3.164531
chr20	789390	1.155701	3.164658
chr20	790035	1.171021	3.165404
chr20	790119	1.177980	3.165502
chr20	790296	1.164382	3.165711
chr20	790722	1.161025	3.166207
chr20	791208	1.155632	3.166771
chr20	791302	1.151883	3.166880
chr20	791745	1.002303	3.167390
chr20	791957	0.765061	3.167602
chr20	792783	0.752164	3.168234
chr20	794435	0.753945	3.169477
chr20	794506	0.754579	3.169531
chr20	795716	4.886298	3.170444
chr20	796822	4.968802	3.175848
chr20	798755	1.829300	3.185452
chr20	802123	1.682311	3.191614
chr20	803752	1.595978	3.194354
chr20	804261	1.577123	3.195166
chr20	806471	1.609820	3.198652
chr20	806878	1.631389	3.199307
chr20	807635	1.659334	3.200542
chr20	807864	1.705643	3.200922
chr20	808383	1.717001	3.201807
chr20	809589	2.117024	3.203878
chr20	809822	2.122946	3.204371
chr20	809837	2.258708	3.204403
chr20	809930	2.348747	3.204613
chr20	810707	2.338630	3.206438
chr20	811975	2.340560	3.209403
chr20	812009	2.341528	3.209483
chr20	813751	2.385365	3.213562
chr20	814151	2.383771	3.214516
chr20	814368	2.341563	3.215033
chr20	814381	2.339557	3.215064
chr20	814701	2.005426	3.215813
chr20	814922	1.521953	3.216256
chr20	818075	1.432576	3.221054
chr20	819030	1.446739	3.222423
chr20	819662	1.695117	3.223337
chr20	820203	1.805135	3.224254
chr20	820962	6.627258	3.225624
chr20	823504	10.726294	3.242471
chr20	824422	10.916531	3.252317
chr20	826513	6.176812	3.275144
chr20	826666	3.580496	3.276089
chr20	830152	3.391189	3.288570
chr20	830298	3.311045	3.289066
chr20	831093	3.357209	3.291698
chr20	831882	3.362540	3.294347
chr20	832763	5.333026	3.297309
chr20	833686	5.333026	3.302231
chr20	834107	5.333026	3.304477
chr20	834152	20.371276	3.304717
chr20	834251	20.373059	3.306733
chr20	834324	20.374804	3.308221
chr20	834480	20.391712	3.311399
chr20	836236	20.404346	3.347207
chr20	836346	8.452192	3.349451
chr20	836485	8.335196	3.350626
chr20	836526	6.874371	3.350968
chr20	836700	6.444592	3.352164
chr20	836811	2.861961	3.352879
chr20	837076	1.710060	3.353638
chr20	837800	1.407908	3.354876
chr20	837874	1.405642	3.354980
chr20	838001	1.405243	3.355159
chr20	838260	0.928569	3.355523
chr20	838290	0.928705	3.355550
chr20	839038	0.922464	3.356245
chr20	839070	0.915693	3.356275
chr20	839313	0.902277	3.356497
chr20	839515	0.891750	3.356679
chr20	839568	0.881683	3.356727
chr20	839588	0.776410	3.356744
chr20	840337	0.770776	3.357326
chr20	840405	0.770291	3.357378
chr20	840783	0.766684	3.357669
chr20	841096	0.758783	3.357909
chr20	842329	0.919444	3.358845
chr20	842938	5.741862	3.359405
chr20	843659	2.847309	3.363545
chr20	843733	0.649630	3.363756
chr20	843843	0.689700	3.363827
chr20	843889	0.721624	3.363859
chr20	843945	0.759401	3.363899
chr20	844007	0.804212	3.363946
chr20	844672	0.848403	3.364481
chr20	844692	0.902526	3.364498
chr20	844723	0.900894	3.364526
chr20	844801	0.989719	3.364596
chr20	846983	1.606939	3.366756
chr20	847183	1.636127	3.367077
chr20	847279	1.640067	3.367234
chr20	847355	1.631368	3.367359
chr20	847420	1.609385	3.367465
chr20	848617	4.638155	3.369391
chr20	848897	4.666944	3.370690
chr20	849169	4.667745	3.371959
chr20	849249	4.668999	3.372333
chr20	849253	4.668309	3.372352
